service_id_number,service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,responsibility_area_en,responsibility_area_fr,authority_en,authority_fr,program_name_en,program_name_fr,program_id_number,service_owner,service_agreements,client_target_groups,cra_business_number,volumes_per_channel_online,volumes_per_channel_telephone,volumes_per_channel_in_person,volumes_per_channel_mail,user_fee,targets_published_en,targets_published_fr,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,interaction_points_online,interaction_points_total,percentage_online,owner_org,owner_org_title
2017-2018-AAFC-008,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,EX,AD,"Provides information on market structure and performance, forecasts, market reports, policy backgrounders, and analysis of various agricutlure products","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",Market and Industry Services Branch,Direction générale des services à l'industrie et aux marchés ,TB Submission,Présentation au Conseil du Trésor ,Market Information and Analysis,Renseignements sur les marchés et analyses,1.2.3,235,Y,ES,N,2945,1700,NA,ND,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,Y,Y,4,4,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-009,AgriRisk,Agri-risques ,EX,RES,"Provides support for research and development, implementation and administration of new risk management tools for use in the agriculture sector.","Offre une aide à la recherche et développement, à la mise en œuvre et à l'administration de nouveaux outils de gestion des risques qui seront utilisés dans le secteur agricole.",Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriRisk Initiatives,Initiatives Agri-risques,1.1.5,235,Y,IO,NA,31,ND,ND,ND,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,Y,Y,Y,Y,N,5,6,83,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-011,AgriCompetitiveness Program Fostering Business Development,"Programme Agri-compétitivité, volet Favoriser le développement des entreprises",EX,RES,"Provides support to national not-for-profit organizations to undertake activities that support agri-businesses to transition, adapt and improve their profitability and resilience by nurturing entrepreneurial capacity.","Offre de l'aide aux organisations nationales sans but lucratif pour réaliser des activités permettant aux entreprises agricoles d'effectuer la transition, de s'adapter et d'améliorer leur rentabilité et leur résilience en développant la capacité entrepreneuriale.",Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,AgriCompetitiveness,Agri-compétitivité ,2.2.2,235,Y,ES,N,1,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-012,Agricultural Youth Green Jobs Initiative,Initiative de stage en agroenvironnement,EX,RES,Help fund internships for post-secondary graduates working in the agriculture industry,Aide à financer des stages à l'intention des détenteurs d'un diplôme d'études postsecondaires qui travaillent dans le secteur agricole.,Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,Career Focus Program (AYGJI is an initiaitve under te borader YES Career Focus program),Programme Objectif carrière (initiative de stage en agroenvironnement de la SEJ - Objectif carrière),2.2.2,235,Y,ES,N,202,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-013,Canadian Agricultural Adaptation Program (2014-2019),"Programme canadien d'adaptation agricole
(2014-2019)",EX,RES,"Provides support to the agriculture, agri-food, and agri-based products sector to seize opportunities, respond to new and/or emerging issues, and pathfind and/or pilot solutions to new and ongoing issues to adapt and remain competitive.","Aide le secteur de l'agriculture, de l'agroalimentaire et des produits agroindustriels à saisir les débouchés, à réagir aux enjeux nouveaux et émergents et à trouver et à tester des solutions aux problèmes nouveaux et courants afin de s'adapter et de demeurer concurrentiel.",Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,2.2.7,235,Y,IO,NA,15,NA,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-014,Agricultural Greenhouse Gas Program,Programme de lutte contre les gaz à effet de serre en agriculture ,EX,RES,Helps producers find ways to mitigate greenhouse gas (GHG) emissions from their farming operations,Aide les producteurs à trouver des moyens d'atténuer les émissions de gaz à effet de serre (GES) liées à leurs activités agricoles.,Programs Branch,Direction générale des programmes ,TB Submission,Présentation au Conseil du Trésor ,Agricultural Greenhouse Gases,Programme de lutte contre les gaz à effet de serre en agriculture ,2.1.7,235,Y,IO,NA,45,NA,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,N,2,4,50,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-015,Market Access Single Window - International Trade Shows,Guichet unique pour l'accès aux marchés - Salons commerciaux internationaux,EX,AD,"Provides support to enable Canada's presence at international food, fish and seafood shows.","Offre de l'aide pour faciliter la présence du Canada dans les salons internationaux axés sur les aliments, le poisson et les fruits de mer.",Market and Industry Services Branch,Direction générale des services à l'industrie et aux marchés ,TB Submission/A-base,Présentation au Conseil du Trésor / services votés ,International Trade Shows,Salons commerciaux internationaux,1.2,235,N,ES,N,320,40,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,Y,Y,Y,Y,Y,6,6,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-020,Office of Intellectual Properties and Commercialization (OIPC),Bureau de la propriété intellectuelle et de la commercialisation (BPIC) ,EX,RES,Supports the development and transfer of the results of research efforts by the Science and Technology Branch (STB) of Agriculture and Agri-Food Canada (AAFC).,Appuie le développement et le transfert des résultats des activités de recherche par la Direction générale des sciences et de la technologie (DGST) d'Agriculture et Agroalimentaire Canada (AAC).,Science and Technology Branch,Direction générale des sciences et de la technologie ,A-Base,Services votés ,Office of Intellectual Properities and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation,2.1,235,Y,ES,N,620,620,ND,105,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,N,Y,4,5,80,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-016,Market Access Single Window - Market Intelligence and Information Services,Guichet unique pour l'accès aux marchés - Services de renseignements sur les marchés,EX,AD,"Provides market intelligence reports and trade data to the agriculture, agri-food and seafood industries to increase the Canadian sector's competitiveness in global markets and provides coordinated direct market research reports through provinces to industry to help increase their international business knowledge in order to make more informed business decisions","Offre des rapports sur les marchés et des données commerciales aux industries agricoles, agroalimentaires et des produits de la mer afin d'accroître la compétitivité du secteur canadien sur les marchés mondiaux, et fournit à l'industrie des rapports coordonnés sur les études de marché par l'entremise des provinces  afin d'améliorer ses connaissances sur le commerce international et de lui permettre de prendre de meilleures décisions d'affaires.",Market and Industry Services Branch,Direction générale des services à l'industrie et aux marchés ,TB Submission/A-base,Présentation au Conseil du Trésor / services votés ,Market Intelligence and Information Services,Services de renseignements sur les marchés,1.2,235,N,ES,N,293,0,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,Y,Y,4,4,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-017,Market Access Single Window - Market Access Services,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,EX,AD,"Provides a single window email account that allows for 2-way communication with external stakeholders (industry, provinces, territories) on market access through three functions: -Incoming requests for information from outside stakeholders; - Mechanism to broadcast messages of wide interest to stakeholders; - Mechanism to solicit information or feedback from outside stakeholders","Offre un compte courriel à guichet unique qui permet une communication bilatérale avec des intervenants externes (industrie, provinces, territoires) sur l'accès aux marchés grâce à trois fonctions : il répond aux demandes d’information des intervenants externes; il diffuse des messages d’intérêt général aux intervenants; il sollicite de l’information ou des commentaires auprès des intervenants externes",Market and Industry Services Branch,Direction générale des services à l'industrie et aux marchés ,TB Submission/A-base,Présentation au Conseil du Trésor / services votés ,Market Access Services,Services d'accès aux marchés,1.2,235,N,ES,N,355,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,Y,Y,Y,Y,4,4,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-018,Market Access Single Window - Canada Brand and Market Development,Guichet unique pour l'accès aux marchés - Marque Canada et développement des marchés,EX,AD,"Provides the Canadian food and agriculture industry with a competitive advantage, internationally and at home, through a set of tools to positively differentiate the sector.",Offre à l'industrie canadienne de l'alimentation et de l'agriculture un avantage concurrentiel au pays et à l'étranger grâce à différents outils permettant de différencier positivement le secteur,Market and Industry Services Branch,Direction générale des services à l'industrie et aux marchés ,TB Submission/A-base,Présentation au Conseil du Trésor / services votés ,Canada Brand and Market Development,Marque Canada et développement des marchés,1.2,235,Y,ES,N,42,NA,NA,0,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,Y,Y,Y,Y,Y,6,6,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-019,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,EX,RES,Provides clients with direct access to sophisticated equipment and a versatile R&D environment to support agri-food companies with small-scale food processing and testing needs and fosters innovation in the area of food research.,Donne aux clients un accès direct à l'équipement de pointe et à un environnement de R-D polyvalent pour aider les entreprises agroalimentaires à répondre à leurs besoins de transformation d'aliments et d'évaluation à petite échelle et pour favoriser l'innovation dans le domaine de la recherche sur les aliments.,Science and Technology Branch,Direction générale des sciences et de la technologie ,A-Based/Order in Council,Services votés / décret,Agriculture and Agri-Food Canada Food Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,2.1.1,235,Y,ES,N,38,NA,NA,ND,Y,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,Y,NA,Y,Y,N,Y,4,5,80,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017-2018-AAFC-021,Drought Watch,Guetter la sécheresse,EX,RES,"Provides users with current and historic weather and climate conditions, to see how current conditions differ from normal, to see where and how weather and climate conditions and events are impacting the sector, to view short-term forecasting products, and to learn about ways to mitigate and adapt to the impacts of weather and climate on agricultural operations.","Fournit aux utilisateurs les conditions météorologiques et climatiques courantes et historiques pour voir comment les conditions actuelles diffèrent de la normale, pour comprendre où et comment les conditions et les phénomènes météorologiques et climatiques influent sur le secteur, pour voir les produits de prévisions à court terme et pour se renseigner sur les façons d'atténuer les effets des conditions météorologiques et du climat sur les activités agricoles et s'y adapter.",Science and Technology Branch,Direction générale des sciences et de la technologie ,A-Base,Services votés ,Drought Watch,Guetter la sécheresse,2.1.1,235,Y,ES,N,16237,NA,NA,NA,N,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/agriculture-and-agri-food-canada-service-standards-quarterly-results-fiscal-year-2017-2018/?id=1481057048109,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/normes-de-service-d-agriculture-et-agroalimentaire-canada-resultats-trimestriels-exercice-2017-2018/?id=1481057048109,NA,NA,NA,NA,Y,NA,1,1,100,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
